work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,FT,Data Scientist,132600.0,US,100,US,M
2025,MI,FT,Data Scientist,102000.0,US,100,US,M
2025,SE,FT,Data Product Manager,260520.0,US,0,US,M
2025,SE,FT,Data Product Manager,140280.0,US,0,US,M
2025,SE,FT,Machine Learning Engineer,215000.0,US,0,US,M
2025,SE,FT,Machine Learning Engineer,136000.0,US,0,US,M
2025,SE,FT,Machine Learning Engineer,130000.0,CA,0,CA,M
2025,SE,FT,Machine Learning Engineer,100000.0,CA,0,CA,M
2025,SE,FT,Machine Learning Engineer,255000.0,CA,100,CA,M
2025,SE,FT,Machine Learning Engineer,173000.0,CA,100,CA,M
2025,SE,FT,Machine Learning Engineer,288000.0,US,100,US,M
2025,SE,FT,Machine Learning Engineer,184000.0,US,100,US,M
2025,SE,FT,Machine Learning Engineer,306000.0,CA,100,CA,M
2025,SE,FT,Machine Learning Engineer,207000.0,CA,100,CA,M
2025,SE,FT,Machine Learning Engineer,322000.0,US,100,US,M
2025,SE,FT,Machine Learning Engineer,205000.0,US,100,US,M
2025,MI,FT,Software Developer,130000.0,CA,0,CA,M
2025,MI,FT,Software Developer,100000.0,CA,0,CA,M
2025,SE,FT,Director,265000.0,US,0,US,M
2025,SE,FT,Director,187000.0,US,0,US,M
2025,SE,FT,Data Scientist,127000.0,US,0,US,M
2025,SE,FT,Data Scientist,73000.0,US,0,US,M
2025,MI,FT,Software Engineer,186688.0,US,0,US,M
2025,MI,FT,Software Engineer,145745.0,US,0,US,M
2025,MI,FT,Manager,29090.0,AT,0,AT,M
2025,SE,FT,Machine Learning Engineer,343100.0,US,0,US,M
2025,SE,FT,Machine Learning Engineer,194500.0,US,0,US,M
2025,SE,FT,Director,245900.0,US,0,US,M
2025,SE,FT,Director,171100.0,US,0,US,M
2025,SE,FT,Developer,185000.0,US,0,US,M
2025,SE,FT,Developer,112000.0,US,0,US,M
2025,SE,FT,Data Governance Lead,226000.0,US,0,US,M
2025,SE,FT,Data Governance Lead,139500.0,US,0,US,M
2025,SE,FT,Data Governance,167667.0,US,0,US,M
2025,SE,FT,Data Governance,121939.0,US,0,US,M
2025,SE,FT,Engineering Manager,265000.0,US,0,US,M
2025,SE,FT,Engineering Manager,216819.0,US,0,US,M
2025,SE,FT,Data Product Owner,110000.0,US,0,US,M
2025,SE,FT,Data Product Owner,90000.0,US,0,US,M
2025,MI,FT,AI Engineer,293250.0,US,0,US,M
2025,MI,FT,AI Engineer,216660.0,US,0,US,M
2025,SE,FT,Engineer,220000.0,US,0,US,M
2025,SE,FT,Engineer,180000.0,US,0,US,M
2025,SE,FT,Data Engineer,209000.0,US,0,US,M
2025,SE,FT,Data Engineer,190000.0,US,0,US,M
2025,MI,FT,Data Engineer,150000.0,CA,0,CA,M
2025,MI,FT,Data Engineer,120900.0,CA,0,CA,M
2025,MI,FT,Data Engineer,177850.0,US,0,US,M
2025,MI,FT,Data Engineer,108300.0,US,0,US,M
2025,SE,FT,Data Engineer,63157.0,LV,0,LV,M
2025,SE,FT,Data Engineer,56842.0,LV,0,LV,M
2025,SE,FT,Data Engineer,161300.0,US,100,US,M
2025,SE,FT,Data Engineer,96800.0,US,100,US,M
2025,SE,FT,BI Analyst,130000.0,US,0,US,M
2025,SE,FT,BI Analyst,120000.0,US,0,US,M
2025,MI,FT,Data Quality Analyst,132000.0,US,100,US,M
2025,MI,FT,Data Quality Analyst,113000.0,US,100,US,M
2025,MI,FT,Data Scientist,135000.0,US,100,US,M
2025,MI,FT,Data Scientist,120000.0,US,100,US,M
2025,MI,FT,Product Manager,200000.0,US,0,US,M
