year,keyword,annual_views
2020,ai,3429230
2020,chatgpt,0
2020,dl,972118
2020,ml,1799644
2020,python,3434807
2021,ai,4185260
2021,chatgpt,0
2021,dl,947466
2021,ml,1758222
2021,python,3515627
2022,ai,6766801
2022,chatgpt,1998384
2022,dl,833308
2022,ml,1852363
2022,python,3661483
2023,ai,10569358
2023,chatgpt,61667781
2023,dl,901506
2023,ml,2227457
2023,python,3913747
2024,ai,8783850
2024,chatgpt,21425184
2024,dl,801730
2024,ml,2127717
2024,python,4719086
2025,ai,8678925
2025,ml,1944115
2025,dl,824303
2025,python,4110747
2025,chatgpt,44811520
