date,keyword,views,category,period
2020-01-01,chatgpt,0,AI,before
2020-01-01,ai,6572,AI,before
2020-01-01,ml,2867,AI,before
2020-01-01,dl,1672,AI,before
2020-01-01,python,4685,Programming,before
2020-01-02,chatgpt,0,AI,before
2020-01-02,ai,10439,AI,before
2020-01-02,ml,5057,AI,before
2020-01-02,dl,3481,AI,before
2020-01-02,python,6994,Programming,before
2020-01-03,chatgpt,0,AI,before
2020-01-03,ai,13657,AI,before
2020-01-03,ml,5010,AI,before
2020-01-03,dl,3109,AI,before
2020-01-03,python,6673,Programming,before
2020-01-04,chatgpt,0,AI,before
2020-01-04,ai,8257,AI,before
2020-01-04,ml,3448,AI,before
2020-01-04,dl,2053,AI,before
2020-01-04,python,5851,Programming,before
2020-01-05,chatgpt,0,AI,before
2020-01-05,ai,10363,AI,before
2020-01-05,ml,4073,AI,before
2020-01-05,dl,4465,AI,before
2020-01-05,python,5264,Programming,before
2020-01-06,chatgpt,0,AI,before
2020-01-06,ai,11427,AI,before
2020-01-06,ml,5395,AI,before
2020-01-06,dl,2713,AI,before
2020-01-06,python,8481,Programming,before
2020-01-07,chatgpt,0,AI,before
2020-01-07,ai,11183,AI,before
2020-01-07,ml,5515,AI,before
2020-01-07,dl,2915,AI,before
2020-01-07,python,8635,Programming,before
2020-01-08,chatgpt,0,AI,before
2020-01-08,ai,10750,AI,before
2020-01-08,ml,5360,AI,before
2020-01-08,dl,3209,AI,before
2020-01-08,python,8485,Programming,before
2020-01-09,chatgpt,0,AI,before
2020-01-09,ai,10424,AI,before
2020-01-09,ml,5355,AI,before
2020-01-09,dl,3259,AI,before
2020-01-09,python,8745,Programming,before
2020-01-10,chatgpt,0,AI,before
2020-01-10,ai,10771,AI,before
2020-01-10,ml,5201,AI,before
2020-01-10,dl,2591,AI,before
2020-01-10,python,8787,Programming,before
2020-01-11,chatgpt,0,AI,before
2020-01-11,ai,7895,AI,before
2020-01-11,ml,3552,AI,before
2020-01-11,dl,1787,AI,before
2020-01-11,python,5214,Programming,before
2020-01-12,chatgpt,0,AI,before
2020-01-12,ai,8867,AI,before
2020-01-12,ml,3813,AI,before
2020-01-12,dl,2454,AI,before
2020-01-12,python,6031,Programming,before
2020-01-13,chatgpt,0,AI,before
2020-01-13,ai,11352,AI,before
2020-01-13,ml,5814,AI,before
2020-01-13,dl,3073,AI,before
2020-01-13,python,8227,Programming,before
2020-01-14,chatgpt,0,AI,before
2020-01-14,ai,11379,AI,before
2020-01-14,ml,5597,AI,before
2020-01-14,dl,2966,AI,before
2020-01-14,python,8360,Programming,before
2020-01-15,chatgpt,0,AI,before
2020-01-15,ai,11109,AI,before
2020-01-15,ml,5595,AI,before
2020-01-15,dl,3222,AI,before
2020-01-15,python,8157,Programming,before
2020-01-16,chatgpt,0,AI,before
2020-01-16,ai,11313,AI,before
2020-01-16,ml,6279,AI,before
2020-01-16,dl,4076,AI,before
2020-01-16,python,9229,Programming,before
2020-01-17,chatgpt,0,AI,before
2020-01-17,ai,10171,AI,before
2020-01-17,ml,5131,AI,before
2020-01-17,dl,2770,AI,before
2020-01-17,python,8417,Programming,before
2020-01-18,chatgpt,0,AI,before
2020-01-18,ai,7535,AI,before
2020-01-18,ml,3777,AI,before
2020-01-18,dl,2034,AI,before
2020-01-18,python,6813,Programming,before
2020-01-19,chatgpt,0,AI,before
2020-01-19,ai,7985,AI,before
2020-01-19,ml,3849,AI,before
2020-01-19,dl,2046,AI,before
2020-01-19,python,6835,Programming,before
2020-01-20,chatgpt,0,AI,before
2020-01-20,ai,11233,AI,before
2020-01-20,ml,5648,AI,before
2020-01-20,dl,2828,AI,before
2020-01-20,python,9162,Programming,before
2020-01-21,chatgpt,0,AI,before
2020-01-21,ai,13145,AI,before
2020-01-21,ml,6005,AI,before
2020-01-21,dl,3028,AI,before
2020-01-21,python,10237,Programming,before
2020-01-22,chatgpt,0,AI,before
2020-01-22,ai,11880,AI,before
2020-01-22,ml,5883,AI,before
2020-01-22,dl,3024,AI,before
2020-01-22,python,10230,Programming,before
2020-01-23,chatgpt,0,AI,before
2020-01-23,ai,11629,AI,before
2020-01-23,ml,5885,AI,before
2020-01-23,dl,2937,AI,before
2020-01-23,python,10139,Programming,before
2020-01-24,chatgpt,0,AI,before
2020-01-24,ai,9835,AI,before
2020-01-24,ml,5256,AI,before
2020-01-24,dl,2635,AI,before
2020-01-24,python,8517,Programming,before
2020-01-25,chatgpt,0,AI,before
2020-01-25,ai,7434,AI,before
2020-01-25,ml,3543,AI,before
2020-01-25,dl,1758,AI,before
2020-01-25,python,6607,Programming,before
2020-01-26,chatgpt,0,AI,before
2020-01-26,ai,7825,AI,before
2020-01-26,ml,3650,AI,before
2020-01-26,dl,1861,AI,before
2020-01-26,python,6259,Programming,before
2020-01-27,chatgpt,0,AI,before
2020-01-27,ai,11181,AI,before
2020-01-27,ml,5662,AI,before
2020-01-27,dl,2561,AI,before
2020-01-27,python,8593,Programming,before
2020-01-28,chatgpt,0,AI,before
2020-01-28,ai,12430,AI,before
2020-01-28,ml,5827,AI,before
2020-01-28,dl,2879,AI,before
2020-01-28,python,9395,Programming,before
2020-01-29,chatgpt,0,AI,before
2020-01-29,ai,11802,AI,before
2020-01-29,ml,5747,AI,before
2020-01-29,dl,2902,AI,before
2020-01-29,python,9362,Programming,before
2020-01-30,chatgpt,0,AI,before
2020-01-30,ai,11110,AI,before
2020-01-30,ml,5775,AI,before
2020-01-30,dl,3045,AI,before
2020-01-30,python,9007,Programming,before
2020-01-31,chatgpt,0,AI,before
2020-01-31,ai,10047,AI,before
2020-01-31,ml,5037,AI,before
2020-01-31,dl,2581,AI,before
2020-01-31,python,8133,Programming,before
2020-02-01,chatgpt,0,AI,before
2020-02-01,ai,9423,AI,before
2020-02-01,ml,3436,AI,before
2020-02-01,dl,1850,AI,before
2020-02-01,python,6452,Programming,before
2020-02-02,chatgpt,0,AI,before
2020-02-02,ai,8358,AI,before
2020-02-02,ml,3709,AI,before
2020-02-02,dl,1927,AI,before
2020-02-02,python,6181,Programming,before
2020-02-03,chatgpt,0,AI,before
2020-02-03,ai,10822,AI,before
2020-02-03,ml,5462,AI,before
2020-02-03,dl,2855,AI,before
2020-02-03,python,8754,Programming,before
2020-02-04,chatgpt,0,AI,before
2020-02-04,ai,13984,AI,before
2020-02-04,ml,5697,AI,before
2020-02-04,dl,2870,AI,before
2020-02-04,python,9257,Programming,before
2020-02-05,chatgpt,0,AI,before
2020-02-05,ai,13123,AI,before
2020-02-05,ml,5877,AI,before
2020-02-05,dl,3064,AI,before
2020-02-05,python,9402,Programming,before
2020-02-06,chatgpt,0,AI,before
2020-02-06,ai,11493,AI,before
2020-02-06,ml,5834,AI,before
2020-02-06,dl,2859,AI,before
2020-02-06,python,9919,Programming,before
2020-02-07,chatgpt,0,AI,before
2020-02-07,ai,10950,AI,before
2020-02-07,ml,5875,AI,before
2020-02-07,dl,3091,AI,before
2020-02-07,python,8909,Programming,before
2020-02-08,chatgpt,0,AI,before
2020-02-08,ai,9076,AI,before
2020-02-08,ml,3985,AI,before
2020-02-08,dl,1906,AI,before
2020-02-08,python,6902,Programming,before
2020-02-09,chatgpt,0,AI,before
2020-02-09,ai,8745,AI,before
2020-02-09,ml,4012,AI,before
2020-02-09,dl,2214,AI,before
2020-02-09,python,6238,Programming,before
2020-02-10,chatgpt,0,AI,before
2020-02-10,ai,11735,AI,before
2020-02-10,ml,5989,AI,before
2020-02-10,dl,3007,AI,before
2020-02-10,python,8744,Programming,before
2020-02-11,chatgpt,0,AI,before
2020-02-11,ai,13381,AI,before
2020-02-11,ml,6591,AI,before
2020-02-11,dl,3044,AI,before
2020-02-11,python,8802,Programming,before
2020-02-12,chatgpt,0,AI,before
2020-02-12,ai,12578,AI,before
2020-02-12,ml,6508,AI,before
2020-02-12,dl,3185,AI,before
2020-02-12,python,8446,Programming,before
2020-02-13,chatgpt,0,AI,before
2020-02-13,ai,11634,AI,before
2020-02-13,ml,5730,AI,before
2020-02-13,dl,3031,AI,before
2020-02-13,python,8720,Programming,before
2020-02-14,chatgpt,0,AI,before
2020-02-14,ai,10634,AI,before
2020-02-14,ml,5615,AI,before
2020-02-14,dl,2758,AI,before
2020-02-14,python,7592,Programming,before
2020-02-15,chatgpt,0,AI,before
2020-02-15,ai,13427,AI,before
2020-02-15,ml,3777,AI,before
2020-02-15,dl,1955,AI,before
2020-02-15,python,5956,Programming,before
2020-02-16,chatgpt,0,AI,before
2020-02-16,ai,8944,AI,before
2020-02-16,ml,4199,AI,before
2020-02-16,dl,2181,AI,before
2020-02-16,python,6096,Programming,before
2020-02-17,chatgpt,0,AI,before
2020-02-17,ai,11287,AI,before
2020-02-17,ml,5660,AI,before
2020-02-17,dl,3030,AI,before
2020-02-17,python,8109,Programming,before
2020-02-18,chatgpt,0,AI,before
2020-02-18,ai,11966,AI,before
2020-02-18,ml,6571,AI,before
2020-02-18,dl,3284,AI,before
2020-02-18,python,8837,Programming,before
2020-02-19,chatgpt,0,AI,before
2020-02-19,ai,12043,AI,before
2020-02-19,ml,6021,AI,before
2020-02-19,dl,3544,AI,before
2020-02-19,python,9171,Programming,before
2020-02-20,chatgpt,0,AI,before
2020-02-20,ai,11242,AI,before
2020-02-20,ml,5798,AI,before
2020-02-20,dl,3042,AI,before
2020-02-20,python,8614,Programming,before
2020-02-21,chatgpt,0,AI,before
2020-02-21,ai,10070,AI,before
2020-02-21,ml,5425,AI,before
2020-02-21,dl,2849,AI,before
2020-02-21,python,8436,Programming,before
2020-02-22,chatgpt,0,AI,before
2020-02-22,ai,8473,AI,before
2020-02-22,ml,3693,AI,before
2020-02-22,dl,2131,AI,before
2020-02-22,python,5532,Programming,before
2020-02-23,chatgpt,0,AI,before
2020-02-23,ai,8935,AI,before
2020-02-23,ml,4001,AI,before
2020-02-23,dl,2216,AI,before
2020-02-23,python,5735,Programming,before
2020-02-24,chatgpt,0,AI,before
2020-02-24,ai,11416,AI,before
2020-02-24,ml,5679,AI,before
2020-02-24,dl,2997,AI,before
2020-02-24,python,7763,Programming,before
2020-02-25,chatgpt,0,AI,before
2020-02-25,ai,11714,AI,before
2020-02-25,ml,6049,AI,before
2020-02-25,dl,3190,AI,before
2020-02-25,python,8286,Programming,before
2020-02-26,chatgpt,0,AI,before
2020-02-26,ai,12214,AI,before
2020-02-26,ml,6233,AI,before
2020-02-26,dl,3161,AI,before
2020-02-26,python,7857,Programming,before
2020-02-27,chatgpt,0,AI,before
2020-02-27,ai,12298,AI,before
2020-02-27,ml,5922,AI,before
2020-02-27,dl,3005,AI,before
2020-02-27,python,8157,Programming,before
2020-02-28,chatgpt,0,AI,before
2020-02-28,ai,12214,AI,before
2020-02-28,ml,5669,AI,before
2020-02-28,dl,2837,AI,before
2020-02-28,python,7542,Programming,before
2020-02-29,chatgpt,0,AI,before
2020-02-29,ai,10818,AI,before
2020-02-29,ml,4126,AI,before
2020-02-29,dl,1949,AI,before
2020-02-29,python,6201,Programming,before
2020-03-01,chatgpt,0,AI,before
2020-03-01,ai,9265,AI,before
2020-03-01,ml,4482,AI,before
2020-03-01,dl,2365,AI,before
2020-03-01,python,5886,Programming,before
2020-03-02,chatgpt,0,AI,before
